,Subclust1,Subclust2,Subclust3,Subclust4,Subclust5,Subclust6,Subclust7,Subclust8,Subclust9,Subclust10,Subclust11,Subclust13,Subclust14,Subclust15,Subclust17,Subclust18,Subclust19,Subclust22,Subclust23,Subclust24,Subclust26,labels
SUM159.1,-0.3732029413412317,0.03150332131451076,0.531559754652887,-0.08601142629471403,0.1370580892449361,-0.21281541590587164,-0.07704526702833776,-0.22793319536228343,-0.2767504285203184,-0.24124489477043945,0.4257598433258616,0.5137414741263169,0.047884187986915835,-0.11338439173178849,0.06504135652632319,-0.3173980958343676,-0.11416801556374602,-0.2369825790798197,-0.2034806126181266,-0.2697287487619078,0.14567420764309438,claudin
SUM159.2,-0.2949064205639636,-0.07281013036430478,0.37541837736770245,-0.05497111328896352,0.13774138645030243,-0.21281541589551112,-0.07850025435085503,-0.22793118906506604,-0.27675042852060167,-0.13772120168518825,0.3646847570492693,0.4907783684942032,0.04788418798693318,-0.16711751834558614,0.06504135653208172,0.19722709226631607,-0.11501672740171878,-0.11087540102430779,-0.20348061270808132,-0.2697287487592932,0.11168148913044593,claudin
MDA231.1,-0.011422424086617596,-0.03291706024250735,-0.09222821997628838,-0.05629724062470654,0.13748887753512334,-0.2128154158943832,-0.08117112015874835,0.11349188243855934,0.015078049707501151,-0.03835985390785096,0.23529278229951547,-6.412867357159145e-05,-0.21074230768281554,0.06339051613500468,0.06504135654846077,0.04163673898388773,0.06880032583795372,-0.10008206350215804,-0.20348061266398687,-0.2697287487640088,0.0925955794015306,claudin
MDA231.2,-0.278762886328685,-0.015534816683909458,0.002897499837517946,-0.4432272607593422,0.13754468692434857,0.13118536033186673,-0.08101328346378296,-0.2556441032217361,0.015078049707292984,-0.1506429644065258,0.25238142196702257,0.4169484082096761,0.047884187986935736,0.06548324604140285,0.06504135653960849,0.03973695109576883,-0.06602720069471686,-0.13708988157159924,-0.20348061248317934,-0.26972874876080616,0.12568046084068268,claudin
SUM229neg.1,-0.0346979514900318,-0.1852921540366164,0.03549658696631393,0.15451261723775808,0.18780606923517795,0.1311853602947501,-0.08295359411425528,0.20174504804911308,0.015078049712151237,0.14209908513004102,0.06510309342944452,0.021307031250872716,-0.2107423076806888,-0.5000263086826326,0.13674643943158607,0.05357408246897355,0.23504803810795183,0.23811321836843893,-0.20348061190997344,0.04626515447146437,0.40873979928947696,claudin
SUM229neg.2,-0.005185138102977245,-0.1606612586227264,0.23850107676457774,-0.05685447097152135,0.21391541012812554,-0.21281541588189573,-0.07840024077179997,-0.22793040797079156,-0.2767504285204274,-0.0308625140084048,0.23109796965985083,-0.16267830327590213,0.047884187986923524,-0.08318612620622944,0.06504135655928724,0.03401418973863632,-0.07158791043922393,-0.08075852330756864,-0.20348061189816882,-0.0564054280612719,-0.07649776329729616,claudin
HCC1806.1,0.026074170985361283,0.0749666390303772,-0.18238534772534984,-0.0553062285119202,0.13059834678843593,0.13118536029991285,-0.07625081252885188,-0.22792193399454327,0.015078049711120587,-0.17519269286251388,-0.01912935398191993,0.22531203579828063,-0.21074230765221863,0.026099395086611125,0.10394578604709521,0.18125885851970464,-0.03305395258400106,-0.046912267929435425,-0.20348061190209618,-0.2697287487615759,0.12426200228335631,basal
HCC1806.2,-0.22013288819354995,-0.07450832554128255,-0.14149375559500912,-0.022212919547351866,0.13032789593366068,0.13118536031095335,-0.15778929596150162,0.1103421717530779,0.015078049709621935,-0.05204669249770964,0.05534731795736499,0.09490493873793932,-0.21074230765141078,-0.0806315294982644,0.06504135658024286,0.155443265151267,-0.011830678549808406,-0.09066530517988333,-0.20348061190184674,-0.26972874876121894,0.003341541530638865,basal
MDA468.1,0.2042008286201888,0.05560035598792397,0.012459609024747638,-0.08632474188771289,0.13677176493863596,0.1311853604149412,-0.13010950750430147,-0.22791741892128514,-0.27675042851970166,-0.13047277060687112,0.18380829901587786,-0.19193992562310586,0.04788418798691413,-0.11994691143990914,-0.2430262934538838,0.15907164698820114,-0.2365332352435118,-0.2967246257008754,0.07280089382215948,-0.2697287487630581,0.12401102886856902,basal
MDA468.2,0.20356819769345788,0.056990683847078664,-0.060177187652663694,0.17997407382362882,0.22392605818381514,0.13118536037838138,-0.1324560605346361,-0.22791750817558076,-0.27675042851998005,-0.09481374499253949,0.17763351502097566,-0.04468477103791893,-0.21074230769184843,-0.1003785106714733,-0.2430262934835678,0.12079699740611333,-0.184527075512099,-0.30305853995735244,0.07280089382398153,-0.269728748760644,0.04460708737057052,basal
SUM229pos.1,-0.04012884649064959,-0.1799278872225836,0.04600012404256547,0.15151282066801855,0.17915130712900157,0.13118536029084374,-0.10154659717572027,0.13145539528179712,0.015078049709475155,0.12131221158658145,-0.01091711645991214,0.035175758218240594,-0.21074230768071162,0.08740340043931615,0.0874839274785137,0.06073560189787813,0.1949649604900907,0.06673450917116695,-0.20348061189416985,0.04626515447121953,0.4414237449720729,basal
SUM229pos.2,-0.05098184894772152,-0.11882147117627928,-0.07449945206344365,-0.056422126149203555,0.2146129507823438,-0.212815415907806,-0.12188080071682134,-0.22791939551440296,-0.27675042852028103,-0.07545662893610597,0.013030778521517995,-0.2488788566929555,0.0478841879869215,-0.06789445477054007,0.06504135657092053,0.0359495800520237,-0.05970044639770684,-0.09175777010829039,-0.20348061221933822,-0.0564054280610203,0.1700302986902059,basal
SKBR3.1,-0.007556120322041372,0.09522600383660512,-0.09429554445734539,0.17794685641045113,-0.07579991346032892,0.13118536030015854,-0.15924782198709223,0.14086310202050947,-0.2767504285207346,0.0898345685448208,-0.22422102196496438,-0.1397134932831481,-0.21074230768043598,-0.031721810472924765,-0.2430262935490699,-0.22545635218365484,-0.09639036723867275,0.11085263478998428,0.07280089382840961,-0.05640542805799152,-0.12768487141874688,her2
SKBR3.2,-0.12435629105133197,0.10167091507116055,-0.058726888794648185,0.20425876891206657,0.021234188316024714,0.13118536030004635,-0.1605489816443145,0.13587266873905143,0.015078049709073851,0.1033821455321372,-0.10894495590512629,0.026053430943507868,-0.2107423076804437,-0.12371476861291994,-0.24302629354781846,0.167682215219002,0.014070754581495887,0.05727367952097247,0.0728008938284547,-0.05640542805577514,-0.09016865600184253,her2
SKBR3.3,-0.06399742178771128,0.16863741787412248,0.0027526602111553056,0.1680111444934008,-0.06914107415856852,0.13118536029995848,0.1978111223752763,0.07664090646777288,0.015078049721198864,0.15548391590427157,-0.2026562279893579,-0.11227979821718506,-0.21074230768241212,0.3364264117308936,-0.24302629354632835,-0.28713012688250517,-0.5051875868132646,0.26215754186114915,0.0728008938296342,0.04626515447162095,0.39104335313322053,her2
BT474.1,-0.4062803407865972,0.09506016460419105,-0.18126761895312943,-0.03619227516631244,-0.21715157121864614,-0.21281541587240685,-0.07278126573641966,0.10975395209269806,0.015078049707965087,0.11191050435512351,-0.11533379630246166,-0.04325726766546852,-0.21074230769785474,-0.03328638833696619,0.10011640916551784,0.17052631721639583,-0.041788277133275306,-0.04484856457485614,-0.20348061190061353,-0.056405428060383504,-0.09408986387104304,her2
BT474.2,0.13792667931962446,0.08164258589458699,-0.106179883074258,-0.328034063438176,-0.23215136811121004,-0.21281541587234556,-0.08764813735343734,0.14026639286110826,0.015078049708171549,0.12823381605151798,-0.10246654221590087,0.018105870491200896,-0.21074230769822186,-0.06524357292727463,-0.24302629354708413,0.17517104537334552,-0.020465231431082066,-0.03419420046651717,-0.2034806119066716,-0.05640542806034904,-0.07308659495721556,her2
BT474.3,0.2960586448486094,-0.02033270027291536,-0.15899077404243972,0.16118831105371778,-0.298811407184522,-0.2128154158814598,-0.14856574650704074,0.1101233119649587,0.01507804970795607,0.08456649947760031,-0.12185867626259644,-0.040612803392994626,-0.21074230768138952,0.009889242441390054,-0.24302629353040228,0.15329478212516473,-0.03006926198162091,-0.10431933298888713,-0.20348061190297909,-0.05640542806054152,-0.07663666414330954,her2
HCC1419.1,-0.05006154754064389,0.12030152984337236,-0.02378343315784256,0.12521291564722223,-0.18049808435940615,-0.21281541585634198,0.1560463136503856,0.12579889426349894,0.015078049720507396,0.1512463571861672,-0.0028166347466560306,-0.0160149386195434,-0.21074230766249707,0.42048032186430495,-0.24302629354455096,0.15352340046970053,0.30711900535702585,0.23080866701055663,-0.20348061189907812,0.04626515447150244,-0.26334011943261587,her2
HCC1419.2,0.2959560616614589,0.12095290925306224,0.0006368074315125719,0.15944531885470684,-0.18724599028186856,-0.21281541588228037,-0.06366276385542158,-0.22791829615754336,0.015078049707184573,0.038548816004413226,0.01702802517157384,-0.0425919989276215,-0.21074230769794677,-0.13462546561736205,0.06504135657023331,0.15155354409949215,0.04620178091513874,-0.03437328243991961,-0.203480612312204,-0.05640542806079001,-0.16352873615497837,her2
MDA361.1,0.10732128352351877,0.012037226281337443,-0.16355557553448047,-0.4158942033006087,-0.08488420999066312,-0.21281541587153488,-0.05687892257874515,0.3215836559886741,-0.27675042852033027,0.02452332750755114,-0.16402122561329588,-0.0413514799694496,0.04788418798693395,-0.08076532381408569,-0.24302629351833485,-0.13499909988163442,-0.05468881917937753,-0.016473877170123916,-0.20348061191326136,-0.05640542806078742,0.03172981269788398,her2
MDA361.2,0.2785456669746268,-0.014025710477193786,-0.05856887987157938,-0.33362543490744584,-0.14153601079267664,-0.2128154158685067,-0.07154079169691764,0.2819021552085248,0.015078049712058741,0.1402809205342062,-0.15873200733849616,-0.043778889644628685,-0.2107423076987103,0.055246825283993585,-0.24302629355071095,-0.14555103563702906,0.08278624110625823,0.016640792636802123,-0.20348061191500924,-0.0564054280568068,-0.06410131776755028,her2
HCC1954.1,0.13297459954775795,-0.27238685470352697,0.3494950608279087,0.14837534683740172,0.1631115586196438,0.1311853602910607,-0.1495907508014273,-0.22800539810685838,0.015078049711685195,-0.021075765960272205,-0.3261464552156014,0.003821633347237795,-0.21074230767541036,0.13092548223902917,-0.24302629355077038,0.051349075074176465,-0.024260031083750487,0.15380706489076235,0.07280089382840636,-0.0564054280564641,-0.16451837418347898,basal/her2
HCC1954.2,0.15669451050998598,-0.2489099595963798,0.3834225485021943,0.14751255074933367,0.13744735187513424,0.1311853602943817,-0.08601420658407774,-0.22800422669118692,0.01507804972057471,-0.7722548927943287,-0.3276342074917406,0.02540104945963944,0.0478841879869344,0.15709083668586213,-0.2430262935526434,-0.2187660444052386,-0.3938220471644482,0.1329228423626114,0.0728008938284548,-0.056405428056467415,-0.02980049813281144,basal/her2
MCF7.1,-0.061959364699702604,0.23849006713456086,-0.09235314162525671,-0.04735910007431038,0.2198948691648724,-0.21281541590371922,0.14701090920625334,0.03834364943922155,-0.276750428520717,0.0014573884018887313,0.05121145213995005,-0.14457307964067095,-0.21074230768170726,-0.1517573800288342,0.0650413565667181,0.11184612127823511,0.08073853371220918,-0.13498867250509974,-0.20348061189647543,-0.269728748759214,-0.046621196725802,luminal
MCF7.2,-0.037197075130234514,0.22294468040944457,-0.133968241266807,-0.022153288309759496,-0.3002278829729947,-0.2128154158974045,0.07823570472546021,0.07759208513893445,0.015078049705481107,0.014980020882065534,0.024069407986865354,-0.12329941286721537,-0.21074230765594948,-0.10475978713621922,0.06504135658661203,-0.3558279460369608,0.16689867899004213,-0.04300687312151266,-0.20348061190147562,-0.26972874875365654,-0.09959339553942434,luminal
T47D.1,0.07474306529280625,0.28126723682303995,-0.13212748674193972,-0.028424365958186027,-0.2955676106472221,-0.2128154159009025,0.02409108514556901,0.07500302193106961,-0.27675042852077586,0.07672383838627021,0.04324833622380423,-0.04344865618247358,-0.21074230767868893,-0.039415899772241345,0.06504135659296302,0.18134228821000062,0.12157418007430222,-0.1214701238971621,-0.20348061246383803,-0.2697287487588755,-0.10706313153917484,luminal
T47D.2,0.10006504675247442,0.2764660656108872,-0.11718743897184007,-0.03726662538038595,-0.29120995598351684,-0.21281541590403386,0.06351156937045253,0.07239644546064634,-0.2767504285205341,0.06876400113510445,0.01481122884441572,-0.044429435360598624,0.04788418798692726,-0.11869645138004178,0.06504135658348045,0.11949108886264348,0.04968401447829285,-0.14960770386921352,-0.2034806127530701,-0.2697287487588853,-0.04280711747472139,luminal
HCC1428.1,-0.036714842946968376,-0.3702173683910263,-0.006153436868627744,0.13967686989012953,-0.04397024002636785,0.13118536028971864,0.36130930007919254,0.09506543556410957,0.015078049719693476,0.16561318281138981,-0.027755814692289556,-0.14755960297622242,-0.21074230766385713,0.27411348138811426,-0.2430262935428963,-0.20024646906911173,0.31770089796879064,0.42747874393763885,0.07280089382974013,0.04626515447169645,-0.29281990423440807,luminal
HCC1428.2,0.07928508116427807,-0.20511622056766243,-0.04897005044974488,0.1490560996398462,-0.08884284139839543,0.1311853602915302,0.3503520980303845,0.09415790933374467,-0.27675042852058074,0.12498330888570523,-0.054843292156654164,-0.15596469411857503,-0.21074230769734634,0.22338370790413495,-0.24302629354922248,-0.1635494429576431,0.10661495227103587,0.04850196751173396,0.07280089382841129,-0.26972874876066144,-0.15704664031456908,luminal
ZR751.1,0.09408855872369265,0.2814850947202728,-0.057603198794478144,-0.08423572889836564,-0.010112555789661212,0.1311853603449517,0.5061386324589793,-0.011741138417716337,-0.27675042851989534,0.02576953345282547,-0.04138379272595785,-0.03952697330749615,0.047884187986920755,-0.03780499345446509,-0.24302629350739627,-0.1692107552097861,-0.011735483342901415,-0.01338400311690962,-0.20348061191897837,-0.05640542806099135,-0.022844043167352487,luminal
ZR751.2,-0.08995804585792949,-0.3437809796376937,0.005875449988055949,0.18412891813916557,0.008519911922207773,0.13118536029128097,0.37108947516132423,0.09438572412444243,0.015078049719932086,0.1504311752050205,-0.1456471075508578,-0.044901489649818715,-0.21074230766349167,0.3044247257462785,0.12699497996316667,-0.29708953272881533,0.2786499850290675,0.44628192998078214,-0.2034806119276141,0.046265154471645434,-0.22257151360312488,luminal
